compound_id,name_cn,name_en,split,smiles,canonical,formula,MW_RDKit,scaffold_RDKit,unassigned_stereocenters
HP-032,大黄酸,rhein,train,O=C(O)c1cc(O)c2c(c1)C(=O)c1cc(O)ccc1C2=O,O=C(O)c1cc(O)c2c(c1)C(=O)c1cc(O)ccc1C2=O,C15H8O6,284.22300000000007,O=C1c2ccccc2C(=O)c2ccccc21,0
HP-033,芦荟大黄素,aloe-emodin,train,OCC1=CC=C2C(=C1)C(=O)c1cc(O)ccc1C2=O,O=C1c2ccc(O)cc2C(=O)c2cc(CO)ccc21,C15H10O4,254.24099999999999,O=C1c2ccccc2C(=O)c2ccccc21,0
HP-034,大黄素甲醚,physcion,train,COc1cc(O)c2c(c1)C(=O)c1cc(OC)c(C)cc1C2=O,COc1cc(O)c2c(c1)C(=O)c1cc(OC)c(C)cc1C2=O,C17H14O5,298.29400000000004,O=C1c2ccccc2C(=O)c2ccccc21,0
HP-035,栀子苷,geniposide,test,COC(=O)C1=COC(OC2OC(CO)C(O)C(O)C2O)=C(CO)C1,COC(=O)C1=COC(OC2OC(CO)C(O)C(O)C2O)=C(CO)C1,C14H20O10,348.30400000000014,C1=COC(OC2CCCCO2)=CC1,5
HP-036,龙胆苦苷,gentiopicroside,train,CC1=C(CO)C=C(OCC2OC(CO)C(O)C(O)C2O)C(=O)O1,Cc1oc(=O)c(OCC2OC(CO)C(O)C(O)C2O)cc1CO,C14H20O9,332.30500000000006,O=c1occcc1OCC1CCCCO1,5
HP-037,桃叶珊瑚苷,aucubin,test,O=C1OC(CO)=C[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,O=C1OC(CO)=C[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,C12H18O10,322.266,O=C1OC=CCC1OC1CCCCO1,0
HP-038,甘草次酸,glycyrrhetinic acid,test,CC1(C)CCC2(C1)CCC3(C2)CC(=O)CC4(C3)CCC(C)C5(C4)CCC(O)C(C)(C)C5C(=O)O,CC1CCC2(CC(=O)CC3(CCC4(CCC(C)(C)C4)C3)C2)CC12CCC(O)C(C)(C)C2C(=O)O,C30H48O4,472.71000000000026,O=C1CC2(CCCC3(CCCCC3)C2)CC2(CCC3(CCCC3)C2)C1,7
HP-039,甘草酸,glycyrrhizin,val,CC1(C)CCC2(C1)CCC3(C2)CC(=O)CC4(C3)CCC(C)C5(C4)CCC(OC6OC(C(=O)O)C(O)C(O)C6OC6OC(C(=O)O)C(O)C(O)C6O)C(C)(C)C5C(=O)O,CC1CCC2(CC(=O)CC3(CCC4(CCC(C)(C)C4)C3)C2)CC12CCC(OC1OC(C(=O)O)C(O)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O)C(C)(C)C2C(=O)O,C42H64O16,824.9580000000005,O=C1CC2(CCCC3(CCC(OC4OCCCC4OC4CCCCO4)CC3)C2)CC2(CCC3(CCCC3)C2)C1,17
HP-040,齐墩果酸,oleanolic acid,test,CC1(C)CCC2(C1)CCC3(C2)CCCC4(C3)CCC(C)C5(C4)CCC(O)C(C)(C)C5C(=O)O,CC1CCC2(CCCC3(CCC4(CCC(C)(C)C4)C3)C2)CC12CCC(O)C(C)(C)C2C(=O)O,C30H50O3,458.7270000000002,C1CCC2(CC1)CCCC1(CCCC3(CCC4(CCCC4)C3)C1)C2,7
HP-041,熊果酸,ursolic acid,test,CC1(C)CCC2(C1)CCC3(C2)CCCC4(C3)CCC(C)C5(C4)CCC(O)C(C)C5(C)C(=O)O,CC1CCC2(CCCC3(CCC4(CCC(C)(C)C4)C3)C2)CC12CCC(O)C(C)C2(C)C(=O)O,C30H50O3,458.7270000000002,C1CCC2(CC1)CCCC1(CCCC3(CCC4(CCCC4)C3)C1)C2,8
HP-042,穿心莲内酯,andrographolide,train,CC(C)C1CCC2(CO)C1=CC(=O)C(O)C=C2,CC(C)C1CCC2(CO)C=CC(O)C(=O)C=C12,C14H20O3,236.311,O=C1C=C2CCCC2C=CC1,3
HP-043,小檗碱,berberine,val,COc1ccc2c(c1OC)CC[n+]3c1cc(OC)c(OC)cc1cc2c3,COc1cc2cc3c[n+](c2cc1OC)CCc1c-3ccc(OC)c1OC,C21H22NO4+,352.4100000000001,c1ccc2c(c1)CC[n+]1cc-2cc2ccccc21,0
HP-044,苦参碱,matrine,test,O=C1N2CCCCC2CC2CCCN12,O=C1N2CCCCC2CC2CCCN12,C11H18N2O,194.27799999999996,O=C1N2CCCCC2CC2CCCN12,2
HP-045,伞形花内酯,umbelliferone,train,O=C1Oc2ccc(O)cc2C=C1,O=c1ccc2cc(O)ccc2o1,C9H6O3,162.14399999999998,O=c1ccc2ccccc2o1,0
HP-046,滨蒿内酯,scoparone,train,COc1cc2C=CC(=O)Oc2cc1OC,COc1cc2ccc(=O)oc2cc1OC,C11H10O4,206.19699999999997,O=c1ccc2ccccc2o1,0
HP-047,东莨菪素,scopoletin,train,COc1cc2C=CC(=O)Oc2cc1O,COc1cc2ccc(=O)oc2cc1O,C10H8O4,192.17,O=c1ccc2ccccc2o1,0
HP-048,丹参酮IIA,tanshinone IIA,val,Cc1c(C)c2c(=O)c3ccccc3oc2c1=O,CC1=C(C)c2c(oc3ccccc3c2=O)C1=O,C14H10O3,226.23099999999997,O=C1C=Cc2c1oc1ccccc1c2=O,0
DC-001,对乙酰氨基酚,acetaminophen,train,CC(=O)Nc1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,C8H9NO2,151.165,c1ccccc1,0
DC-002,阿司匹林,aspirin,train,CC(=O)Oc1ccccc1C(=O)O,CC(=O)Oc1ccccc1C(=O)O,C9H8O4,180.15899999999996,c1ccccc1,0
DC-003,布洛芬,ibuprofen,train,CC(C)Cc1ccc(C(C)C(=O)O)cc1,CC(C)Cc1ccc(C(C)C(=O)O)cc1,C13H18O2,206.28499999999997,c1ccccc1,1
DC-004,双氯芬酸,diclofenac,train,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,C14H11Cl2NO2,296.153,c1ccc(Nc2ccccc2)cc1,0
DC-005,丙戊酸钠,valproic acid,train,CCCC(CCC)CC(=O)O,CCCC(CCC)CC(=O)O,C9H18O2,158.241,,0
DC-006,二甲双胍,metformin,train,CN(C)C(=N)N=C(N)N,CN(C)C(=N)N=C(N)N,C4H11N5,129.167,,0
DC-007,华法林,warfarin,val,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,C19H16O4,308.3330000000001,O=c1oc2ccccc2cc1Cc1ccccc1,1
DC-008,奥美拉唑,omeprazole,train,COc1ccc2[nH]c(S(=O)(=O)Cc3ncc(C)c(OC)c3C)nc2c1,COc1ccc2[nH]c(S(=O)(=O)Cc3ncc(C)c(OC)c3C)nc2c1,C17H19N3O4S,361.4230000000001,O=S(=O)(Cc1ccccn1)c1nc2ccccc2[nH]1,0
DC-009,咖啡因,caffeine,val,Cn1c(=O)c2c(ncn2C)n(C)c1=O,Cn1c(=O)c2c(ncn2C)n(C)c1=O,C8H10N4O2,194.194,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,0
DC-010,茶碱,theophylline,train,Cn1c(=O)c2[nH]cnc2n(C)c1=O,Cn1c(=O)c2[nH]cnc2n(C)c1=O,C7H8N4O2,180.16699999999997,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,0
DC-011,薄荷脑,menthol,train,CC(C)C1CCC(C)CC1O,CC1CCC(C(C)C)C(O)C1,C10H20O,156.269,C1CCCCC1,3
DC-012,樟脑,camphor,train,CC1(C)C2CCC1(C)C(=O)C2,CC12CCC(CC1=O)C2(C)C,C10H16O,152.237,O=C1CC2CCC1C2,2
DC-013,柠檬烯,limonene,train,CC1=CCC(CC1)C(=C)C,C=C(C)C1CC=C(C)CC1,C10H16,136.238,C1=CCCCC1,1
DC-014,苯海拉明,diphenhydramine,train,CN(C)CCOC(c1ccccc1)c1ccccc1,CN(C)CCOC(c1ccccc1)c1ccccc1,C17H21NO,255.36100000000002,c1ccc(Cc2ccccc2)cc1,0
DC-015,氯苯那敏,chlorpheniramine,test,Clc1ccc(C(CCN(C)C)c2ccccc2)cc1,CN(C)CCC(c1ccccc1)c1ccc(Cl)cc1,C17H20ClN,273.807,c1ccc(Cc2ccccc2)cc1,1
DC-016,愈创甘油醚,guaifenesin,train,COc1cccc(OCC(O)CO)c1,COc1cccc(OCC(O)CO)c1,C10H14O4,198.218,c1ccccc1,1
DC-017,阿替洛尔,atenolol,train,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,C14H22N2O3,266.34099999999995,c1ccccc1,1
DC-018,普萘洛尔,propranolol,train,CC(C)NCC(O)COc1cccc2ccccc12,CC(C)NCC(O)COc1cccc2ccccc12,C16H21NO2,259.34900000000005,c1ccc2ccccc2c1,1
DC-019,呋塞米,furosemide,train,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,C12H11ClN2O5S,330.749,c1ccc(NCc2ccco2)cc1,0
DC-020,别嘌醇,allopurinol,test,O=c1[nH]cnc2[nH]cnc12,O=c1[nH]cnc2[nH]cnc12,C5H4N4O,136.114,O=c1[nH]cnc2[nH]cnc12,0
DC-021,葡萄糖,glucose,val,OC[C@H]1O[C@@H](O)[C@H](O)[C@H](O)[C@H]1O,OC[C@H]1O[C@@H](O)[C@H](O)[C@H](O)[C@H]1O,C6H12O6,180.156,C1CCOCC1,0
DC-022,甘油,glycerol,train,OCC(O)CO,OCC(O)CO,C3H8O3,92.09400000000001,,0
DC-023,尿素,urea,train,NC(=O)N,NC(N)=O,CH4N2O,60.056,,0
DC-024,烟酰胺,nicotinamide,test,NC(=O)c1cccnc1,NC(=O)c1cccnc1,C6H6N2O,122.12699999999997,c1ccncc1,0
DC-025,水杨酰胺,salicylamide,train,NC(=O)c1ccccc1O,NC(=O)c1ccccc1O,C7H7NO2,137.13799999999998,c1ccccc1,0
DC-026,肉桂酸,cinnamic acid,train,O=C(O)C=Cc1ccccc1,O=C(O)C=Cc1ccccc1,C9H8O2,148.161,c1ccccc1,0
DC-027,香草醛,vanillin,train,COc1cc(C=O)ccc1O,COc1cc(C=O)ccc1O,C8H8O3,152.14899999999997,c1ccccc1,0
DC-028,丁香酚,eugenol,train,COc1cc(CC=C)ccc1O,C=CCc1ccc(O)c(OC)c1,C10H12O2,164.204,c1ccccc1,0
DC-029,香豆素,coumarin,train,O=c1oc2ccccc2cc1,O=c1ccc2ccccc2o1,C9H6O2,146.14499999999998,O=c1ccc2ccccc2o1,0
DC-030,麝香草酚,thymol,train,Cc1cc(C)c(O)cc1C,Cc1cc(C)c(O)cc1C,C9H12O,136.194,c1ccccc1,0
DC-031,氯霉素,chloramphenicol,train,O=[N+]([O-])c1ccc([C@H](O)[C@H](CO)NC(=O)C(Cl)Cl)cc1,O=C(N[C@@H](CO)[C@@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,C11H12Cl2N2O5,323.13199999999995,c1ccccc1,0
DC-032,甲氨蝶呤,methotrexate,test,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,C20H22N8O5,454.44700000000023,c1ccc(NCc2cnc3ncncc3n2)cc1,1
DC-033,异烟肼,isoniazid,test,NNC(=O)c1cccnc1,NNC(=O)c1cccnc1,C6H7N3O,137.142,c1ccncc1,0
DC-034,吡嗪酰胺,pyrazinamide,train,NC(=O)c1cnccn1,NC(=O)c1cnccn1,C5H5N3O,123.11499999999998,c1cnccn1,0
DC-035,苯佐卡因,benzocaine,train,CCOC(=O)c1ccc(N)cc1,CCOC(=O)c1ccc(N)cc1,C9H11NO2,165.19199999999998,c1ccccc1,0
DC-036,利多卡因,lidocaine,train,CCN(CC)CC(=O)Nc1c(C)cccc1C,CCN(CC)CC(=O)Nc1c(C)cccc1C,C14H22N2O,234.343,c1ccccc1,0
DC-037,酮洛芬,ketoprofen,val,O=C(O)c1ccccc1C(=O)c1ccccc1,O=C(O)c1ccccc1C(=O)c1ccccc1,C14H10O3,226.231,O=C(c1ccccc1)c1ccccc1,0
DC-038,萘普生,naproxen,val,COc1ccc2cc(CC(C)C(=O)O)ccc2c1,COc1ccc2cc(CC(C)C(=O)O)ccc2c1,C15H16O3,244.29,c1ccc2ccccc2c1,1
DC-039,甲苯磺丁脲,tolbutamide,train,CCCCNC(=O)NS(=O)(=O)c1ccc(CC)cc1,CCCCNC(=O)NS(=O)(=O)c1ccc(CC)cc1,C13H20N2O3S,284.381,c1ccccc1,0
DC-040,苯甲酸,benzoic acid,train,O=C(O)c1ccccc1,O=C(O)c1ccccc1,C7H6O2,122.12299999999996,c1ccccc1,0
NV-001,科罗索酸,corosolic acid,pool,CC1(C)CC2CCC3(C)C(CCC4(C)C3CC=C3C5(C)CCC(O)C(C)(C)C5CCC43C)C2CC1O,CC1(C)CC2CCC3(C)C(CCC4(C)C3CC=C3C5(C)CCC(O)C(C)(C)C5CCC34C)C2CC1O,C34H56O2,496.8200000000004,C1=C2C3CCCCC3CCC2C2CCC3C4CCCCC4CCC3C2C1,11
NV-002,马斯里酸,maslinic acid,pool,CC1(C)CCC2(C1)C(O)CC3(C2)CCCC4(C3)CCC(C)C5(C4)CCC(O)C(C)(C)C5C(=O)O,CC1CCC2(CCCC3(CC(O)C4(CCC(C)(C)C4)C3)C2)CC12CCC(O)C(C)(C)C2C(=O)O,C30H50O4,474.7260000000002,C1CCC2(CC1)CCCC1(CCCC3(CCC4(CCCC4)C3)C1)C2,8
NV-003,积雪草酸,asiatic acid,pool,CC1(C)CCC2(C1)C(O)CC3(C2)CCCC4(C3)CCC(O)C5(C4)CCC(O)C(C)(C)C5C(=O)O,CC1(C)CCC2(C1)CC1(CCCC3(CCC(O)C4(CCC(O)C(C)(C)C4C(=O)O)C3)C1)CC2O,C29H48O5,476.6980000000002,C1CCC2(CC1)CCCC1(CCCC3(CCC4(CCCC4)C3)C1)C2,8
NV-004,羟基积雪草酸,madecassic acid,pool,CC1(C)CCC2(C1)C(O)CC3(C2)CC(O)CC4(C3)CCC(O)C5(C4)CCC(O)C(C)(C)C5C(=O)O,CC1(C)CCC2(C1)CC1(CC(O)CC3(CCC(O)C4(CCC(O)C(C)(C)C4C(=O)O)C3)C1)CC2O,C29H48O6,492.6970000000003,C1CCC2(CC1)CCCC1(CCCC3(CCC4(CCCC4)C3)C1)C2,9
NV-005,β-乳香酸,boswellic acid,pool,CC1=C(C)C2CCC3(C)C(C2)CCC4(C)C3CC=C1CC4C(=O)O,CC1=C(C)C2CCC3(C)C(CCC4(C)C(C(=O)O)CC1=CCC34)C2,C22H32O2,328.49600000000004,C1=CC2CCC3C(CCC4CCC1=CCC43)C2,6
NV-006,去氢松香酸,dehydroabietic acid,pool,CC(C)c1ccc2c(c1)CCC1(C)CCC(C(C)C)CC21C(=O)O,CC(C)c1ccc2c(c1)CCC1(C)CCC(C(C)C)CC21C(=O)O,C22H32O2,328.49600000000004,c1ccc2c(c1)CCC1CCCCC21,3
NV-007,五味子甲素,schisandrin A,pool,COc1cc(CC(C)CCc2cc(OC)c(C)c(OC)c2C)ccc1OC,COc1ccc(CC(C)CCc2cc(OC)c(C)c(OC)c2C)cc1OC,C23H32O4,372.5050000000001,c1ccc(CCCCc2ccccc2)cc1,1
NV-008,戈米辛A,gomisin A,pool,C[C@H]1CC2=CC3=C(C(=C2C4=C(C(=C(C=C4C[C@@]1(C)O)OC)OC)OC)OC)OCO3,COc1cc2c(c(OC)c1OC)-c1c(cc3c(c1OC)OCO3)C[C@H](C)[C@](C)(O)C2,C23H28O7,416.4700000000002,c1ccc2c(c1)CCCCc1cc3c(cc1-2)OCO3,0
NV-009,松脂素,pinoresinol,pool,COC1=C(C=CC(=C1)[C@@H]2[C@H]3CO[C@@H]([C@H]3CO2)C4=CC(=C(C=C4)O)OC)O,COc1cc([C@H]2OC[C@H]3[C@@H]2CO[C@@H]3c2ccc(O)c(OC)c2)ccc1O,C20H22O6,358.39000000000004,c1ccc(C2OCC3C(c4ccccc4)OCC23)cc1,0
NV-010,落叶松脂素,lariciresinol,pool,COc1cc2CC(O)C(CO)c3cc(OC)ccc3C2c1OC,COC1=C(OC)C2C(=C1)CC(O)C(CO)c1cc(OC)ccc12,C18H22O5,318.3690000000001,C1=CC2C(=C1)CCCc1ccccc12,3
NV-011,奥贝胆酸,obeticholic acid,pool,CCC(C)C(C)CC(O)C1CCC2(C)C1CCC3C2CCC4(C)C3CCC4C(=O)O,CCC(C)C(C)CC(O)C1CCC2(C)C1CCC1C3CCC(C(=O)O)C3(C)CCC12,C27H46O3,418.6620000000002,C1CC2CCC3C4CCCC4CCC3C2C1,11
NV-012,灵芝酸A,ganoderic acid,pool,CC1(C)CCC2(C1)CCC3(C2)CC(=O)CC4(C3)CCC(O)C5(C4)CCCCC5(C)C(=O)O,CC1(C)CCC2(CCC3(CC(=O)CC4(CCC(O)C5(CCCCC5(C)C(=O)O)C4)C3)C2)C1,C28H44O4,444.6560000000003,O=C1CC2(CCCC3(CCCCC3)C2)CC2(CCC3(CCCC3)C2)C1,6
