compound_id,name_cn,target,score_kcal,mode
NV-001,科罗索酸,KEAP1_KELCH,-3.9,mock_local
NV-002,马斯里酸,FXR_LBD,-7.3,mock_local
NV-002,马斯里酸,KEAP1_KELCH,-4.72,mock_local
NV-003,积雪草酸,FXR_LBD,-6.79,mock_local
NV-003,积雪草酸,KEAP1_KELCH,-5.69,mock_local
NV-004,羟基积雪草酸,FXR_LBD,-6.49,mock_local
NV-004,羟基积雪草酸,KEAP1_KELCH,-5.44,mock_local
NV-005,β-乳香酸,FXR_LBD,-6.41,mock_local
NV-005,β-乳香酸,KEAP1_KELCH,-4.29,mock_local
NV-006,去氢松香酸,FXR_LBD,-8.05,mock_local
NV-006,去氢松香酸,KEAP1_KELCH,-4.28,mock_local
NV-007,五味子甲素,FXR_LBD,-8.31,mock_local
NV-007,五味子甲素,KEAP1_KELCH,-5.08,mock_local
NV-008,戈米辛A,FXR_LBD,-7.62,mock_local
NV-008,戈米辛A,KEAP1_KELCH,-5.44,mock_local
NV-009,松脂素,FXR_LBD,-7.9,mock_local
NV-009,松脂素,KEAP1_KELCH,-5.39,mock_local
NV-010,落叶松脂素,FXR_LBD,-7.41,mock_local
NV-010,落叶松脂素,KEAP1_KELCH,-6.38,mock_local
NV-011,奥贝胆酸,FXR_LBD,-7.67,mock_local
NV-011,奥贝胆酸,KEAP1_KELCH,-4.61,mock_local
NV-012,灵芝酸A,FXR_LBD,-6.85,mock_local
NV-012,灵芝酸A,KEAP1_KELCH,-4.47,mock_local
